episodio,media_voraz,banderas
50,-200.00,0
100,-200.00,0
150,-200.00,0
200,-200.00,0
250,-200.00,0
300,-200.00,0
350,-177.35,7
400,-200.00,0
450,-197.80,1
500,-200.00,0
550,-118.50,19
600,-200.00,0
650,-200.00,0
700,-191.70,3
750,-129.75,16
800,-158.20,10
850,-162.40,8
900,-175.85,5
950,-102.35,20
1000,-188.95,2
1050,-110.55,20
1100,-116.75,19
1150,-105.90,20
1200,-103.05,20
1250,-104.65,20
1300,-109.95,20
1350,-109.30,20
1400,-110.30,20
1450,-104.55,20
1500,-102.80,20
1550,-131.10,18
1600,-118.80,20
1650,-105.50,20
1700,-105.95,20
1750,-103.45,20
1800,-104.10,20
1850,-175.70,5
1900,-111.15,20
1950,-116.60,20
2000,-100.15,20
2050,-105.40,20
2100,-103.45,20
2150,-162.05,9
2200,-104.25,20
2250,-110.50,20
2300,-114.95,20
2350,-110.55,20
2400,-107.30,20
2450,-99.85,20
2500,-104.60,20
