episodio,media_voraz,banderas
500,-200.00,0
1000,-200.00,0
1500,-200.00,0
2000,-165.40,16
2500,-200.00,0
3000,-184.05,13
3500,-180.70,11
4000,-185.80,19
4500,-160.30,13
5000,-168.45,20
5500,-176.60,19
6000,-140.45,16
6500,-133.45,20
7000,-167.65,13
7500,-131.75,20
8000,-145.20,20
8500,-140.95,20
9000,-171.70,20
9500,-167.10,20
10000,-137.55,20
10500,-120.20,19
11000,-128.90,20
11500,-133.35,20
12000,-177.95,20
12500,-162.60,20
13000,-147.25,20
13500,-148.65,20
14000,-149.70,16
14500,-135.50,20
15000,-146.15,20
15500,-128.80,20
16000,-154.85,18
16500,-147.65,20
17000,-134.50,20
17500,-132.75,20
18000,-135.80,20
18500,-166.05,20
19000,-166.15,20
19500,-141.85,20
20000,-159.15,20
